10/16 12:42:33.469  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,3.4.0,PROJECT_ID,11
10/16 12:43:31.657  SPELL_CAST_START,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,48018,"Demonic Circle: Summon",0x20
10/16 12:43:32.140  SPELL_AURA_APPLIED,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,48018,"Demonic Circle: Summon",0x20,BUFF
10/16 12:43:32.140  SPELL_CAST_SUCCESS,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,48018,"Demonic Circle: Summon",0x20,Player-4476-045C7252,0000000000000000,100,100,54,1917,1989,0,14421,14421,578,6213.99,293.55,0,0.2395,204
10/16 12:43:32.140  SPELL_CREATE,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,GameObject-0-4459-562-5395-191083-00004BEE66,"Demonic Circle: Summon",0x4228,0x0,48018,"Demonic Circle: Summon",0x20
10/16 12:43:32.606  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,66843,"Call of the Ancestors",0x0,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12512,12921,0,6249.54,271.82,0,5.5803,201
10/16 12:43:32.606  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,57722,"Totem of Wrath",0x1,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12512,12921,219,6249.54,271.82,0,5.5803,201
10/16 12:43:32.606  SPELL_SUMMON,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Creature-0-4459-562-5395-30654-00004BEE66,"Totem of Wrath IV",0xa28,0x0,57722,"Totem of Wrath",0x1
10/16 12:43:32.606  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,8143,"Tremor Totem",0x1,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12293,12921,87,6249.54,271.82,0,5.5803,201
10/16 12:43:32.606  SPELL_SUMMON,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Creature-0-4459-562-5395-5913-00004BEE66,"Tremor Totem",0xa28,0x0,8143,"Tremor Totem",0x1
10/16 12:43:32.606  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,58774,"Mana Spring Totem",0x1,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12206,12921,175,6249.54,271.82,0,5.5803,201
