8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,52127,"Water Shield",0x8,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,324867,"Fleshcraft",0x20,BUFF,24516
8/5 22:01:44.908  SPELL_CAST_START,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,48018,"Demonic Circle",0x20
8/5 22:01:45.291  SPELL_AURA_APPLIED,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,48018,"Demonic Circle",0x20,BUFF
8/5 22:01:45.291  SPELL_CAST_SUCCESS,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,48018,"Demonic Circle",0x20,Player-3682-0AB897EE,0000000000000000,94100,94100,268,2226,474,14115,0,50000,50000,1000,-2046.30,6687.55,0,5.3168,266
8/5 22:01:45.291  SPELL_CREATE,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,GameObject-0-4255-1505-5779-191083-00006D853A,"Demonic Circle: Summon",0x4228,0x0,48018,"Demonic Circle",0x20
8/5 22:01:45.508  SPELL_CAST_START,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,111771,"Demonic Gateway",0x20
8/5 22:01:46.009  SPELL_CAST_SUCCESS,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,45524,"Chains of Ice",0x10,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,24954,5,6,6,1,-2035.87,6645.52,0,1.7555,266
8/5 22:01:46.009  SPELL_ENERGIZE,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,45524,"Chains of Ice",0x10,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,24954,6,100,1000,0,-2035.87,6645.52,0,1.7555,266,10.0000,0.0000,6,1000
8/5 22:01:46.009  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,45524,"Chains of Ice",0x10,DEBUFF
8/5 22:01:46.043  SPELL_CAST_SUCCESS,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,Player-3674-05ABF767,0000000000000000,90960,90960,317,2556,534,0,0,53000,53000,900,-2056.63,6673.59,0,5.1692,285
8/5 22:01:46.043  SPELL_ABSORBED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,324867,"Fleshcraft",0x20,662,812,nil
8/5 22:01:46.043  SPELL_MISSED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,ABSORB,nil,662,812,nil
8/5 22:01:46.043  SPELL_AURA_APPLIED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,204213,"Purge the Wicked",0x4,DEBUFF
8/5 22:01:46.043  SPELL_AURA_APPLIED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,332514,"Bron's Call to Action",0x40,BUFF
8/5 22:01:46.062  SPELL_HEAL,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,357945,"Condensed Anima Sphere",0x8,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,24292,6,100,1000,0,-2036.08,6646.21,0,1.7403,266,1663,1663,1663,0,nil
8/5 22:01:46.062  SPELL_AURA_REMOVED_DOSE,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,974,"Earth Shield",0x8,BUFF,8
8/5 22:01:46.088  SPELL_HEAL,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x10548,0x0,379,"Earth Shield",0x8,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,24292,6,100,1000,0,-2036.16,6646.50,0,1.7320,266,2570,2570,2570,0,1
8/5 22:01:46.088  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,366779,"Heal the Soul",0x8,BUFF
8/5 22:01:46.141  SPELL_CAST_FAILED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,204197,"Purge the Wicked",0x4,"Not yet recovered"
8/5 22:01:46.258  SPELL_CAST_START,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,111771,"Demonic Gateway",0x20
8/5 22:01:46.642  SPELL_CAST_SUCCESS,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,196840,"Frost Shock",0x10,Player-1623-03E4E265,0000000000000000,81720,81720,691,2557,2140,24516,0,50000,50000,100,-2032.02,6631.17,0,2.0920,280
8/5 22:01:46.642  SPELL_AURA_APPLIED,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352562,"Undulating Maneuvers",0x20,DEBUFF
8/5 22:01:46.642  SPELL_ABSORBED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,196840,"Frost Shock",0x10,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352109,"Undulating Maneuvers",0x20,119,2893,nil
8/5 22:01:46.642  SPELL_ABSORBED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,196840,"Frost Shock",0x10,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,324867,"Fleshcraft",0x20,2265,2893,nil
8/5 22:01:46.642  SPELL_MISSED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,196840,"Frost Shock",0x10,ABSORB,nil,2384,2893,nil
8/5 22:01:47.118  SPELL_CAST_SUCCESS,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,111771,"Demonic Gateway",0x20,Player-1623-08DAD60D,0000000000000000,89640,89640,317,2440,464,0,0,50000,50000,10000,-2039.32,6628.99,0,2.0908,268
8/5 22:01:47.157  SPELL_ABSORBED,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352561,"Undulating Maneuvers",0x20,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,324867,"Fleshcraft",0x20,12,11,nil
8/5 22:01:47.157  SPELL_PERIODIC_MISSED,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352561,"Undulating Maneuvers",0x20,ABSORB,nil,12,11,nil
8/5 22:01:47.326  SPELL_CAST_SUCCESS,Creature-0-4255-1505-5779-59262-00006D853C,"Demonic Gateway",0x2148,0x0,0000000000000000,nil,0x80000000,0x80000000,113899,"Demonic Gateway",0x1,Creature-0-4255-1505-5779-59262-00006D853C,Player-1623-08DAD60D,89640,89640,0,0,1071,0,1,0,0,0,-2043.32,6668.57,0,4.8130,268
8/5 22:01:47.326  SPELL_CAST_SUCCESS,Creature-0-4255-1505-5779-59271-00006D853C,"Demonic Gateway",0x2148,0x0,0000000000000000,nil,0x80000000,0x80000000,113900,"Demonic Gateway",0x1,Creature-0-4255-1505-5779-59271-00006D853C,Player-1623-08DAD60D,89640,89640,0,0,1071,0,1,0,0,0,-2039.52,6630.97,0,4.8130,268
8/5 22:01:47.514  SPELL_CAST_SUCCESS,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,49576,"Death Grip",0x20,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,24292,6,100,1000,0,-2039.67,6660.22,0,1.8517,266
8/5 22:01:47.609  SPELL_CAST_SUCCESS,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,Player-3674-05ABF767,0000000000000000,90960,90960,317,2556,534,0,0,52477,53000,900,-2057.65,6670.76,0,5.1535,285
8/5 22:01:47.609  SPELL_ABSORBED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,Player-1623-03E4E265,"Шамтуу-Дракономор",0x10548,0x0,324867,"Fleshcraft",0x20,677,788,nil
8/5 22:01:47.610  SPELL_MISSED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x10548,0x0,204197,"Purge the Wicked",0x4,ABSORB,nil,677,788,nil
8/5 22:01:47.610  SPELL_AURA_APPLIED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x10548,0x0,204213,"Purge the Wicked",0x4,DEBUFF
8/5 22:01:47.610  SPELL_AURA_APPLIED_DOSE,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,332514,"Bron's Call to Action",0x40,BUFF,2
8/5 22:01:47.657  SPELL_ABSORBED,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352561,"Undulating Maneuvers",0x20,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,324867,"Fleshcraft",0x20,12,11,nil
8/5 22:01:47.657  SPELL_PERIODIC_MISSED,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,Player-3674-081A1F87,"Lokrawn-TwistingNether",0x512,0x0,352561,"Undulating Maneuvers",0x20,ABSORB,nil,12,11,nil
8/5 22:01:47.708  SPELL_ABSORBED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,204213,"Purge the Wicked",0x4,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,324867,"Fleshcraft",0x20,360,441,nil
8/5 22:01:47.708  SPELL_PERIODIC_MISSED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,204213,"Purge the Wicked",0x4,ABSORB,nil,360,441,nil
