11/2 18:54:17.835  SPELL_AURA_REMOVED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,343173,"Premeditation",0x1,BUFF
11/2 18:54:17.951  SPELL_CAST_SUCCESS,Player-1098-0A781F24,"Herbèrt-Malygos",0x512,0x2,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,Player-1098-0A781F24,0000000000000000,82600,82600,2910,305,1782,0,1,0,1150,0,-10744.73,465.66,0,5.3041,278
11/2 18:54:18.401  SPELL_DAMAGE,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,81297,"Consecration",0x2,Player-1335-09D86B90,0000000000000000,95877,96040,2942,306,980,0,3,87,100,0,-10757.16,465.80,0,4.8236,302,163,206,-1,2,0,0,0,nil,nil,nil
11/2 18:54:18.818  SPELL_AURA_REMOVED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,204242,"Consecration",0x2,DEBUFF
11/2 18:54:19.251  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,331939,"Thrill Seeker",0x20,BUFF
11/2 18:54:19.735  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,358404,"Trial of Doubt",0x40,DEBUFF
11/2 18:54:20.201  SPELL_CAST_SUCCESS,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1084-0979C1C5,"Alexsmite-TarrenMill",0x511,0x4,2094,"Blind",0x1,Player-1335-09D86B90,0000000000000000,95877,96040,2942,306,980,0,3,100,100,0,-10756.86,467.35,0,5.7829,302
11/2 18:54:20.201  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1084-0979C1C5,"Alexsmite-TarrenMill",0x511,0x4,2094,"Blind",0x1,DEBUFF
11/2 18:54:20.201  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,210324,"Vengeance Aura",0x1,BUFF
11/2 18:54:20.201  SPELL_CAST_SUCCESS,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,0000000000000000,nil,0x80000000,0x80000000,210324,"Vengeance Aura",0x1,Player-1929-0675D6C6,0000000000000000,77660,77660,2627,449,1869,0,0,10000,10000,0,-10751.11,457.53,0,5.8688,278
11/2 18:54:20.201  SPELL_AURA_REMOVED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,340094,"Master Assassin's Mark",0x1,BUFF
11/2 18:54:20.218  SPELL_CAST_SUCCESS,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1084-0979C1C5,"Alexsmite-TarrenMill",0x511,0x4,354050,"Nimble Steps",0x20,Player-1335-09D86B90,0000000000000000,95877,96040,2942,306,980,0,3,100,100,0,-10756.86,467.35,0,5.7829,302
11/2 18:54:20.218  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1084-0979C1C5,"Alexsmite-TarrenMill",0x511,0x4,354050,"Nimble Steps",0x20,DEBUFF
11/2 18:54:20.801  SPELL_AURA_REMOVED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,115192,"Subterfuge",0x1,BUFF
11/2 18:54:21.168  SPELL_AURA_REMOVED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,6770,"Sap",0x1,DEBUFF
11/2 18:54:21.168  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,336126,"Gladiator's Medallion",0x1,BUFF
11/2 18:54:21.168  SPELL_CAST_SUCCESS,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,0000000000000000,nil,0x80000000,0x80000000,336126,"Gladiator's Medallion",0x1,Player-1929-0675D6C6,0000000000000000,77660,77660,2627,449,1869,0,0,10000,10000,0,-10751.11,457.53,0,5.8688,278
11/2 18:54:21.168  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,394119,"Blackjack",0x1,DEBUFF
11/2 18:54:21.284  SPELL_AURA_APPLIED_DOSE,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,331939,"Thrill Seeker",0x20,BUFF,2
11/2 18:54:21.284  SPELL_AURA_REMOVED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,336126,"Gladiator's Medallion",0x1,BUFF
11/2 18:54:21.768  SPELL_CAST_SUCCESS,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,853,"Hammer of Justice",0x2,Player-1929-0675D6C6,0000000000000000,77660,77660,2627,449,1869,0,0,10000,10000,350,-10751.55,458.37,0,2.0557,278
11/2 18:54:21.768  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,853,"Hammer of Justice",0x2,DEBUFF
11/2 18:54:21.768  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,328900,"Let Go of the Past",0x40,BUFF
11/2 18:54:21.935  SPELL_CAST_SUCCESS,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1098-0A781F24,"Herbèrt-Malygos",0x512,0x2,354050,"Nimble Steps",0x20,Player-1335-09D86B90,0000000000000000,95877,96040,2942,306,980,0,3,100,100,0,-10757.88,466.21,0,5.5453,302
11/2 18:54:21.951  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1098-0A781F24,"Herbèrt-Malygos",0x512,0x2,354050,"Nimble Steps",0x20,DEBUFF
11/2 18:54:21.951  SPELL_CAST_SUCCESS,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,354050,"Nimble Steps",0x20,Player-1335-09D86B90,0000000000000000,95877,96040,2942,306,980,0,3,100,100,0,-10757.88,466.21,0,5.5453,302
11/2 18:54:22.001  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,354050,"Nimble Steps",0x20,DEBUFF
11/2 18:54:22.852  SPELL_CAST_SUCCESS,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,77130,"Purify Spirit",0x8,Player-2073-094DF239,0000000000000000,84580,84580,717,2532,2330,0,0,50000,50000,650,-10733.76,473.10,0,3.5437,289
11/2 18:54:22.852  SPELL_AURA_REMOVED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,853,"Hammer of Justice",0x2,DEBUFF
11/2 18:54:22.852  SPELL_DISPEL,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,77130,"Purify Spirit",0x8,853,"Hammer of Justice",2,DEBUFF
11/2 18:54:22.968  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x528,0x0,Player-1098-0A781F24,"Herbèrt-Malygos",0x10512,0x2,31661,"Dragon's Breath",0x4,DEBUFF
11/2 18:54:22.968  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x528,0x0,Player-1084-0979C1C5,"Alexsmite-TarrenMill",0x511,0x4,31661,"Dragon's Breath",0x4,DEBUFF
11/2 18:54:22.968  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x528,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,31661,"Dragon's Breath",0x4,DEBUFF
11/2 18:54:22.968  SPELL_DAMAGE,Player-580-0A594065,"Cocojamba-Blackmoore",0x528,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,31661,"Dragon's Breath",0x4,Player-1929-0675D6C6,0000000000000000,76441,77660,2627,449,1869,0,0,9765,10000,0,-10755.88,463.98,0,1.9340,278,1219,1522,-1,4,0,0,0,nil,nil,nil
